time,LUPA_gyr_x,LUPA_gyr_y,LUPA_gyr_z,LUPA_acc_x,LUPA_acc_y,LUPA_acc_z,LUPA_mag_x,LUPA_mag_y,LUPA_mag_z
387.0,8.72802734375,-16.2353515625,24.0478515625,-0.1656544694357127,-0.7343974120303964,-0.630024109622486,-10.875,32.0625,7.625
387.5,-12.75634765625,29.052734375,-40.34423828125,-0.140995513779107,-0.5733817560350353,-0.5614185003204444,-13.9375,28.125,6.25
388.0,7.4462890625,30.517578125,-67.32177734375,0.8281502731406598,-0.4616840113528855,-0.6275826288644063,-12.5625,30.6875,10.3125
388.5,-2.99072265625,-3.2958984375,2.74658203125,0.8744163335062716,-0.1744438001647999,-0.4798730430005798,-14.625,31.75,6.25
389.0,8.23974609375,10.8642578125,-11.16943359375,0.8623310037537767,-0.2187566759239478,-0.4975737784966582,-13.25,31.0625,4.0
389.5,-0.54931640625,0.67138671875,-1.8310546875,0.86855677968688,-0.2103335673085726,-0.4491103854487747,-11.875,29.1875,9.8125
390.0,-0.06103515625,0.06103515625,-0.67138671875,0.8677022614215522,-0.2082583086642048,-0.4419080172124393,3.5625,26.3125,27.125
390.5,0.0,1.52587890625,0.06103515625,0.8725852229377117,-0.1964171269875179,-0.4383678701132236,-3.125,31.75,15.1875
391.0,-0.3662109375,-1.52587890625,1.03759765625,0.8675801873836482,-0.2089907528916287,-0.4448377941221351,-6.5,31.75,12.0625
391.5,-41.6259765625,-106.8115234375,20.44677734375,0.6728720969267861,-0.1809137241737113,-0.8014160588396863,-11.1875,31.0625,10.3125
392.0,14.404296875,48.2177734375,1.89208984375,-0.1143833735160374,-0.0845973082674642,-0.6168401135288553,-8.125,32.8125,12.9375
392.5,-0.8544921875,26.85546875,-9.58251953125,0.7036347544785913,-0.1855525376140629,-0.7495345927304911,-10.5625,32.4375,7.1875
393.0,4.82177734375,11.23046875,-5.43212890625,0.7660145878475295,-0.314951017792291,-0.6421094393749809,-10.1875,33.5625,8.9375
