time,SACR_gyr_x,SACR_gyr_y,SACR_gyr_z,SACR_acc_x,SACR_acc_y,SACR_acc_z,SACR_mag_x,SACR_mag_y,SACR_mag_z
167.0,1.52587890625,-1.3427734375,0.3662109375,0.9615771965697196,-0.0151371807000946,0.238654744102298,-31.6875,-0.75,-36.5
167.5,-0.48828125,0.9765625,1.03759765625,0.9646290475173191,-0.0162358470412305,0.2354808191167943,-33.0625,-0.375,-37.375
168.0,0.42724609375,-0.06103515625,-0.3662109375,0.9658497878963592,-0.0147709585863826,0.2541581469161046,-32.3125,-0.375,-36.9375
168.5,-2.01416015625,1.3427734375,0.0,0.9626758629108554,-0.0205084383678701,0.2651448103274636,-32.6875,1.125,-39.0
169.0,-1.89208984375,2.197265625,-0.8544921875,0.9615771965697196,-0.0197759941404461,0.2297433393353068,-33.4375,-0.375,-38.1875
169.5,-0.42724609375,1.15966796875,-0.244140625,0.9630420850245676,-0.0172124393444624,0.2567217017120883,-34.125,-1.0625,-39.0
170.0,-0.1220703125,0.244140625,0.0,0.9625537888729514,-0.0173345133823664,0.2594073305459761,-33.0625,2.3125,-32.875
170.5,-0.1220703125,0.06103515625,0.0,0.9629200109866634,-0.0168462172307504,0.2620929593798639,-32.3125,1.5,-36.9375
171.0,0.48828125,-0.1220703125,0.1220703125,0.9604785302285836,-0.0137943662831507,0.2489089632862331,-31.3125,-0.375,-40.625
171.5,2.62451171875,-3.5400390625,-1.3427734375,0.9627979369487594,0.0070802941984313,0.2343821527756584,-33.0625,-1.0625,-39.4375
172.0,-0.91552734375,0.3662109375,-0.30517578125,0.9649952696310312,-0.0026856288338877,0.2415845210119937,-32.3125,-0.375,-34.125
172.5,0.06103515625,0.06103515625,-0.06103515625,0.9662160100100712,-0.0034180730613116,0.2424390392773217,-33.4375,1.125,-41.0
173.0,0.0,0.0,-0.1220703125,0.967314676351207,-0.0034180730613116,0.2442701498458815,-31.9375,1.5,-37.75
173.5,0.18310546875,0.0,-0.1220703125,0.9627979369487594,-0.0064699240089114,0.2437818536942655,-33.8125,1.125,-37.75
174.0,-0.06103515625,0.06103515625,-0.06103515625,0.9656056398205513,-0.0056154057435834,0.2457350383007294,-32.3125,0.0,-37.8125
174.5,0.3662109375,0.06103515625,-0.06103515625,0.9647511215552232,-0.0020752586443678,0.2435377056184575,-32.3125,0.75,-38.625
175.0,0.0,0.18310546875,-0.06103515625,0.9645069734794152,-0.0070802941984313,0.2458571123386334,-31.6875,1.125,-39.0
175.5,0.0,0.06103515625,0.06103515625,0.9670705282753992,-0.0035401470992156,0.2453688161870174,-33.0625,-1.0625,-37.375
176.0,0.3662109375,-0.30517578125,-0.1220703125,0.9656056398205513,-0.0064699240089114,0.2417065950498977,-33.4375,-0.75,-37.375
