time,C7_gyr_x,C7_gyr_y,C7_gyr_z,C7_acc_x,C7_acc_y,C7_acc_z,C7_mag_x,C7_mag_y,C7_mag_z
17.0,-20.5078125,2.62451171875,-11.77978515625,-0.9223914304025392,-0.0147709585863826,-0.4068727683339945,23.25,12.1875,-7.4375
17.5,6.9580078125,-2.62451171875,0.91552734375,-0.9515671254615924,-0.0816675313577684,-0.2968840601825007,23.625,10.6875,-8.6875
18.0,20.56884765625,14.83154296875,7.01904296875,-0.9393597216711936,-0.1286660359508041,-0.3238624225592822,24.6875,12.1875,-10.4375
18.5,-1.52587890625,-3.41796875,0.3662109375,-0.9319132053590504,-0.064455092013306,-0.3350932340464492,22.1875,11.0625,-9.1875
19.0,6.40869140625,-13.85498046875,-4.45556640625,-0.9851374858851892,-0.086062196722312,-0.1757866145817438,22.9375,14.4375,-14.25
19.5,0.18310546875,0.48828125,-0.6103515625,-0.9855037079989012,-0.0815454573198645,-0.1372112186040833,22.9375,11.4375,-14.625
20.0,0.1220703125,14.34326171875,5.7373046875,-0.9817194128238776,-0.1392864772484512,-0.0625019074068422,20.8125,10.3125,-16.3125
20.5,14.22119140625,13.427734375,6.4697265625,-0.9249549851985228,-0.0946073793755913,-0.3540147099215674,23.625,11.8125,-8.6875
21.0,-25.2685546875,-15.625,3.84521484375,-0.9536423841059604,-0.119632557145909,-0.2359691152684103,21.125,10.6875,-13.8125
21.5,-0.244140625,-3.90625,-0.06103515625,-0.9525437177648244,-0.1328165532395397,-0.2271797845393231,21.125,9.9375,-16.8125
22.0,-3.662109375,1.5869140625,2.25830078125,-0.976714377269814,-0.0794701986754966,-0.1583300271614734,22.1875,11.8125,-14.25
22.5,3.662109375,7.4462890625,-3.7841796875,-0.9643848994415112,-0.1438032166508987,-0.2369457075716422,22.5625,12.1875,-10.0
23.0,8.7890625,2.38037109375,-0.6103515625,-0.9416791283913694,-0.1508835108493301,-0.2652668843653676,22.1875,12.1875,-13.8125
23.5,0.18310546875,0.79345703125,0.0,-0.9599902340769676,-0.1313516647846919,-0.2332834864345225,22.1875,13.375,-16.8125
24.0,-6.9580078125,-0.732421875,-4.0283203125,-0.9505905331583604,-0.1472212897122104,-0.2439039277321695,20.875,12.5625,-10.875
24.5,5.126953125,2.0751953125,1.89208984375,-0.956816309091464,-0.1314737388225959,-0.2336497085482345,21.125,13.375,-13.8125
25.0,1.3427734375,1.03759765625,0.3662109375,-0.9493697927793208,-0.151371807000946,-0.2485427411725211,21.5,12.1875,-13.375
25.5,0.3662109375,0.30517578125,1.15966796875,-0.9521774956511124,-0.141117587817011,-0.2475661488692892,22.5625,11.4375,-13.0
26.0,-0.9765625,-0.06103515625,-1.15966796875,-0.9516891994994964,-0.1376995147556993,-0.2458571123386334,22.5625,12.5625,-12.5
26.5,4.2724609375,1.28173828125,1.64794921875,-0.9525437177648244,-0.1389202551347392,-0.2479323709830012,24.3125,13.0,-10.0
27.0,-1.220703125,-0.30517578125,-1.220703125,-0.9529099398785364,-0.151982177190466,-0.2550126651814325,22.9375,11.4375,-10.875
27.5,0.48828125,-0.54931640625,0.732421875,-0.9537644581438642,-0.1336710715048677,-0.2481765190588091,22.9375,13.375,-15.9375
28.0,2.01416015625,0.9765625,0.732421875,-0.9488814966277048,-0.1497848445081942,-0.250129703665273,21.875,11.4375,-14.6875
28.5,0.9765625,-0.06103515625,-0.06103515625,-0.9503463850825524,-0.151860103152562,-0.2585528122806482,21.875,12.5625,-9.5625
29.0,-1.40380859375,-0.30517578125,-1.03759765625,-0.9499801629688406,-0.1530808435316019,-0.2524491103854487,22.9375,11.4375,-11.75
29.5,-0.30517578125,0.54931640625,0.79345703125,-0.9553514206366162,-0.1439252906888027,-0.2529374065370647,21.875,11.4375,-14.25
30.0,0.30517578125,0.1220703125,0.0,-0.9504684591204564,-0.151982177190466,-0.2551347392193365,23.25,12.1875,-10.0
30.5,1.40380859375,0.9765625,0.0,-0.9483932004760888,-0.1604052858058412,-0.2581865901669362,25.0,12.5625,-7.9375
31.0,-0.06103515625,0.06103515625,0.18310546875,-0.9480269783623768,-0.1510055848872341,-0.2578203680532243,23.25,12.5625,-13.375
31.5,-0.48828125,0.1220703125,0.30517578125,-0.9471724600970488,-0.1461226233710745,-0.2574541459395123,21.5,11.8125,-12.5
32.0,-0.18310546875,-0.30517578125,0.42724609375,-0.9529099398785364,-0.1456343272194586,-0.2535477767265847,22.9375,13.0,-11.6875
32.5,0.18310546875,-0.42724609375,-0.1220703125,-0.9527878658406324,-0.1417279580065309,-0.2598956266975921,22.5625,12.5625,-13.0
33.0,-17.822265625,-8.11767578125,2.5634765625,-0.9541306802575762,-0.1372112186040833,-0.2247383037812433,21.875,13.375,-15.5
33.5,5.37109375,7.38525390625,-1.953125,-0.9493697927793208,-0.1180455946531571,-0.2185125278481399,21.875,12.1875,-12.125
34.0,-2.5634765625,-4.5166015625,0.42724609375,-0.954618976409192,-0.1473433637501144,-0.2237617114780114,20.5,12.5625,-16.8125
34.5,5.43212890625,21.1181640625,-2.197265625,-0.9721976378673666,-0.1032746360667745,-0.2464674825281533,23.9375,11.4375,-11.75
35.0,-3.41796875,4.5166015625,-7.4462890625,-0.9253212073122348,-0.1075472273934141,-0.3709830011902219,23.625,12.1875,-10.0
35.5,-20.1416015625,-24.10888671875,6.16455078125,-0.9725638599810784,-0.0960722678304391,-0.1251258888515884,22.1875,11.0625,-13.0
